,DWMAEIA ID Equity
2019-01-03,
2019-01-04,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-30,
2019-05-03,
2019-05-10,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-29,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-02,
2019-07-03,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-13,
2019-08-14,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-30,
2019-10-31,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-26,
2019-11-27,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-24,
2019-12-31,
2020-01-03,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-19,
2020-03-20,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-06,
2020-05-07,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-19,
2020-05-20,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-03,
2020-06-04,
2020-06-05,0.0962411047357337
2020-06-09,0.09793784983986198
2020-06-10,0.09915481631756712
2020-06-11,0.09244877438997291
2020-06-12,0.0933760671988182
2020-06-16,0.08987863265288476
2020-06-17,0.08991022514027028
2020-06-18,0.08930476153596674
2020-06-19,0.08887881185265024
2020-06-23,0.08792212215527576
2020-06-24,0.0877504360579393
2020-06-25,0.08774116019071239
2020-06-26,0.0859026251457395
2020-06-30,0.0871300137019546
2020-07-01,0.08678753552639568
2020-07-02,0.08412162542422243
2020-07-07,0.08344329819690745
2020-07-08,0.08380679082731395
2020-07-09,0.08430754323092837
2020-07-10,0.08386041115487938
2020-07-16,0.08637352158927275
2020-07-17,0.0866405972393136
2020-07-21,0.08683419385785099
2020-07-22,0.08620816201004364
2020-07-23,0.08609235171740622
2020-07-24,0.0875822197461668
2020-07-28,0.08716131052968691
2020-07-29,0.08726878006045652
2020-07-30,0.0860196378174351
2020-07-31,0.08580973796568844
2020-08-05,0.08613952788550723
2020-08-06,0.08617222065690287
2020-08-07,0.08530801211134531
2020-08-11,0.08379657617219116
2020-08-12,0.08461777871046072
2020-08-13,0.08380242114917281
2020-08-14,0.0833705281490354
2020-08-18,0.08313380031963817
2020-08-19,0.08187978288626234
2020-08-20,0.08146777448241156
2020-08-21,0.08113933443267445
2020-08-25,0.08075727538372693
2020-08-26,0.07703537861758299
2020-08-27,0.07779125698946644
2020-08-28,0.07654970470183374
2020-09-02,0.07732447522610528
2020-09-03,0.080950033180091
2020-09-04,0.08487432381887101
2020-09-09,0.08490575130197155
2020-09-10,0.08533034358803045
2020-09-11,0.08503609747562654
2020-09-15,0.08541262643172373
