,AEABSIA ID Equity
2020-06-23,-0.015018641279374346
2020-06-24,-0.014609541266760836
2020-06-25,-0.01465013714332268
2020-06-26,-0.01452654145400024
2020-06-30,-0.014307140313428085
2020-07-01,-0.01432999046797344
2020-07-02,-0.01444723658629746
2020-07-03,-0.014597278162263076
2020-07-07,-0.014606272658513962
2020-07-08,-0.014627485446320115
2020-07-09,-0.014675363610938696
2020-07-10,-0.014601260093405625
2020-07-14,-0.014499854420413447
2020-07-15,-0.014534364577159953
2020-07-16,-0.014676014385102534
2020-07-17,-0.014631316181529849
2020-07-21,-0.014556601944758656
2020-07-22,-0.014674390005911787
2020-07-23,-0.014747744097272277
2020-07-24,-0.014705503029441411
2020-07-28,-0.014637539669245376
2020-07-29,-0.014627643323574155
2020-07-30,-0.014724292140376157
2020-07-31,-0.014845105397146658
2020-08-04,-0.014817097389723182
2020-08-05,-0.01473561264472194
2020-08-06,-0.015180587576595678
2020-08-07,-0.015173687519742948
2020-08-11,-0.015021807464398398
2020-08-12,-0.015070380708130287
2020-08-13,-0.015092867961897908
2020-08-14,-0.015059605555793148
2020-08-18,-0.015061155184941104
2020-08-19,-0.014999218607704694
2020-08-20,-0.0148151653784431
2020-08-21,-0.014773896119868376
2020-08-25,-0.014826997241969859
2020-08-26,-0.014591600317365751
2020-08-27,-0.014462652178145002
2020-08-28,-0.014811121894812911
2020-09-01,-0.014882558725990777
2020-09-02,-0.014496330991308952
2020-09-03,-0.014540479391348378
2020-09-04,-0.014908137638874837
2020-09-08,-0.01502691711051679
2020-09-09,-0.015014302016571964
2020-09-10,-0.015076348987308719
2020-09-11,-0.015101236240121243
2020-09-15,-0.015299172161670678
2020-09-16,-0.015270665126214335
2020-09-17,-0.015432663475641038
2020-09-18,-0.01561038831980028
2020-09-22,-0.015376404361305863
2020-09-23,-0.015459204424103022
2020-09-24,-0.015505538187078232
2020-09-25,-0.015409121261618737
2020-09-29,-0.015517606669851027
2020-09-30,-0.015818674280921707
2020-10-01,-0.01581204020958067
2020-10-02,-0.01586240086468658
2020-10-06,-0.01592108592565719
2020-10-07,-0.015925901664234143
2020-10-08,-0.01585535202114336
2020-10-09,-0.01576812284994298
2020-10-13,-0.015778078793269052
2020-10-14,-0.01576863658911917
2020-10-15,-0.01564521564814575
2020-10-16,-0.01545477407243602
2020-10-20,-0.015401774209109017
2020-10-21,-0.015289308434447016
2020-10-22,-0.01528501211238378
2020-10-23,-0.015312939415258884
2020-10-27,-0.015379884112284439
2020-10-28,-0.015040927720017604
2020-10-29,-0.015012191340319806
2020-10-30,-0.01438175212477225
2020-11-03,-0.014303252408140866
2020-11-04,-0.013950717161561857
2020-11-05,-0.01402129914019012
2020-11-06,-0.013894744051908381
2020-11-10,-0.013774279495121299
2020-11-11,-0.013565396247819774
2020-11-12,-0.013671126790035133
2020-11-13,-0.013875847066164912
2020-11-17,-0.013914900967709653
2020-11-18,-0.013885446915564826
2020-11-19,-0.013996603056426688
2020-11-20,-0.014064470169944639
2020-11-24,-0.01425354070205531
2020-11-25,-0.014351474541042202
2020-11-26,-0.01457564516117096
2020-11-27,-0.014601187316018295
2020-12-01,-0.01455314067472529
2020-12-02,-0.014486226346048523
2020-12-03,-0.014362496595130825
2020-12-04,-0.014310159900046675
2020-12-08,-0.014261581024863069
2020-12-09,-0.014240508220654126
2020-12-10,-0.014211770590398125
2020-12-11,-0.014342138440929995
2020-12-15,-0.014231160955676964
2020-12-16,-0.01420946709057868
2020-12-17,-0.014085648306559808
2020-12-18,-0.014051473678242348
2020-12-22,-0.014058571975153695
2020-12-23,-0.014118840378281754
2020-12-24,-0.014104676012250633
2020-12-29,-0.014095832082535432
2020-12-30,-0.01407280865849114
2020-12-31,-0.014286841994244483
2021-01-05,-0.014225933356447742
2021-01-06,-0.0146528044030893
2021-01-07,-0.014645230044020468
2021-01-08,-0.014636724399522896
2021-01-12,-0.014598242808031117
2021-01-13,-0.014267085307525915
2021-01-14,-0.01442830193256228
2021-01-15,-0.01459425561777308
2021-01-19,-0.01463023142579833
2021-01-20,-0.014554711031153094
2021-01-21,-0.014530588682425512
2021-01-22,-0.014492237082414506
2021-01-26,-0.014476124335200328
2021-01-27,-0.01455662482665615
2021-01-28,-0.014537633259888877
2021-01-29,-0.014047756358329513
2021-02-02,-0.013700660758293164
2021-02-03,-0.0136326438157695
2021-02-04,-0.013703030242720687
2021-02-05,-0.013693690970940017
2021-02-09,-0.013663999204559815
2021-02-10,-0.013731384906544119
2021-02-11,-0.01376522725819544
2021-02-12,-0.013760031867323596
2021-02-16,-0.013732786346511002
2021-02-17,-0.01362991053084397
2021-02-18,-0.013688030820233111
2021-02-19,-0.01366918937976753
2021-02-23,-0.013664568140835264
2021-02-24,-0.0135777275964162
2021-02-25,-0.013447875363007981
2021-02-26,-0.013592566467377215
2021-03-02,-0.013626450493435844
2021-03-03,-0.01369373990392017
2021-03-04,-0.01352681706719316
2021-03-05,-0.013543427415343074
2021-03-09,-0.013549524883659467
2021-03-10,-0.013395526602628268
2021-03-11,-0.013568308297600551
2021-03-12,-0.013603272092103685
2021-03-16,-0.013675060876103687
2021-03-17,-0.01364982316468867
2021-03-18,-0.013632644984681213
2021-03-19,-0.013715624324464508
2021-03-23,-0.013698690700634746
2021-03-24,-0.013873730213514126
2021-03-25,-0.013931333742488604
2021-03-26,-0.01405314782494814
2021-03-30,-0.01407412198152322
2021-03-31,-0.014192309094787605
2021-04-01,-0.014015725784055043
2021-04-07,-0.013883818272450414
2021-04-08,-0.013873617983165545
2021-04-09,-0.013891698168013463
2021-04-13,-0.013865518163031812
2021-04-14,-0.0139061696183724
2021-04-15,-0.013761828047855099
2021-04-16,-0.013737837929611054
2021-04-20,-0.013878240875799567
2021-04-21,-0.013967385757757479
2021-04-22,-0.013966685737095494
2021-04-23,-0.014035837041038151
2021-04-27,-0.014129610408509628
2021-04-28,-0.014151970496114673
2021-04-29,-0.014297377126707804
2021-04-30,-0.014613584234144644
2021-05-04,-0.014803388209235983
2021-05-05,-0.014913459279320277
2021-05-06,-0.014977350452768922
2021-05-07,-0.015143004731960534
2021-05-11,-0.01491515123984635
2021-05-12,-0.014991886698277706
2021-05-13,-0.014979126304990379
2021-05-14,-0.015179240174378852
2021-05-18,-0.015500245796213813
2021-05-19,-0.01543519724568497
2021-05-20,-0.01538299125877796
2021-05-21,-0.015417219660511598
2021-05-25,-0.015414845073549406
2021-05-26,-0.016059663637486878
2021-05-27,-0.016296112295403124
2021-05-28,-0.016086547942957937
2021-06-01,-0.01613034268097045
2021-06-02,-0.016302745718797834
2021-06-03,-0.01754611205101054
2021-06-04,-0.017813531463535242
2021-06-08,-0.017603290984725045
2021-06-09,-0.032717720430362945
2021-06-10,-0.03055711375969106
2021-06-11,-0.030001535833044563
2021-06-15,-0.04133181961809197
2021-06-16,-0.043054857888954405
2021-06-17,-0.03973824914800211
2021-06-18,-0.03028885274039759
2021-06-22,-0.026961160514990003
2021-06-23,-0.021061103241727566
2021-06-24,-0.016478781616823805
2021-06-25,-0.014467632724118103
2021-06-29,-0.014387395986647027
2021-06-30,-0.013830186427456119
2021-07-01,-0.014403850506638002
2021-07-02,-0.010856388838437227
2021-07-06,-0.010875504367549686
2021-07-07,-0.013469178635879474
2021-07-08,-0.010409508531117618
2021-07-09,-0.010233623349298435
2021-07-13,-0.011131576185426572
2021-07-14,-0.008842267294525266
2021-07-15,-0.006567499852443869
2021-07-16,-0.008011587063151339
2021-07-20,-0.008731933413822352
2021-07-21,-0.008593063768295417
2021-07-22,-0.011167661669825312
2021-07-23,-0.01116715615374896
2021-07-27,-0.012956206519073879
2021-07-28,-0.012623938708138785
2021-07-29,-0.012716189019889683
2021-07-30,-0.012578894787347274
2021-08-03,-0.012100285105371898
2021-08-04,-0.00811117391075619
2021-08-05,-0.008347403727564474
2021-08-06,-0.008792924448488343
2021-08-10,-0.008793497969487401
2021-08-11,-0.008938129004503713
2021-08-12,-0.008572726128870176
2021-08-13,-0.008611848924984556
2021-08-17,-0.00863058552090341
2021-08-18,-0.008667777324934511
2021-08-19,-0.009451299110284365
2021-08-20,-0.00870299484487104
2021-08-24,-0.009879494243645917
2021-08-25,-0.010104310903303266
2021-08-26,-0.010288746208067336
2021-08-27,-0.013987803499460764
2021-08-31,-0.012484542965029955
2021-09-01,-0.011605670302796356
2021-09-02,-0.009269035586814035
2021-09-03,-0.00923639248110134
2021-09-07,-0.007125002424281409
2021-09-08,-0.007058368942155983
2021-09-09,-0.00671984556173116
2021-09-10,-0.0063333051091049395
2021-09-14,-0.0066948437223979685
2021-09-15,-0.007842892185359818
2021-09-16,-0.00803687517708069
2021-09-17,-0.008277834087730517
2021-09-21,-0.009031282583170028
2021-09-22,-0.008513597362882765
2021-09-23,-0.007981487347391587
2021-09-24,-0.007518237888928706
2021-09-28,-0.0069130073180661165
2021-09-29,-0.006262126460809028
2021-09-30,-0.006089497564192293
2021-10-01,-0.0056282884257047834
2021-10-05,-0.005854291361313477
2021-10-06,-0.004934099357833928
2021-10-07,-0.004680896559736989
2021-10-08,-0.004614749182213477
2021-10-12,-0.004949619656254104
2021-10-13,-0.0038684197865535997
2021-10-14,-0.002630777122534184
2021-10-15,-0.003097667897070659
2021-10-19,-0.003030466612075862
2021-10-20,-0.0033407897922645025
2021-10-21,-0.003002526722917311
2021-10-22,-0.002670054676010119
2021-10-26,-0.002349749896766611
2021-10-27,-0.0021582884407372964
2021-10-28,-0.002220358900393925
2021-10-29,-0.001802204976639886
2021-11-02,-0.0017673403513745627
2021-11-03,-0.001744096960337479
2021-11-04,-0.0018249910580503256
2021-11-05,-0.001364415464778556
2021-11-09,-0.0013367732237898411
2021-11-10,-0.0014975305026108724
2021-11-11,-0.0013346459162966325
2021-11-12,-0.0013839948716808084
2021-11-16,-0.0008823873925704619
2021-11-17,-0.000890130933813114
2021-11-18,-0.0012056818187111018
2021-11-19,0.0006936458748085663
2021-11-23,0.001586763726884987
2021-11-24,0.000756476053839213
2021-11-25,0.0010379261368625606
2021-11-26,0.0028405991037191917
2021-11-30,0.0030676891610632827
2021-12-01,0.003067804570179633
2021-12-02,0.004727701927327763
2021-12-03,0.004410357796282009
2021-12-07,0.00435504171915891
2021-12-08,0.004648788383194241
2021-12-09,0.005718526230425716
2021-12-10,0.007468152683841077
2021-12-14,0.007491238946307202
2021-12-15,0.007840188226984079
2021-12-16,0.00854486498376131
2021-12-17,0.008512974228738826
2021-12-21,0.007654377626776534
2021-12-22,0.0076989778830355545
2021-12-23,0.007509635161731025
2021-12-24,0.007561336539574575
2021-12-28,0.007461727026547093
2021-12-29,0.0074950762879492355
2021-12-30,0.007307072269772019
2021-12-31,0.007068088158157793
2022-01-04,0.007272803160336668
2022-01-05,0.007321846493905447
2022-01-06,0.00724166114620916
2022-01-07,0.006234257174808037
2022-01-11,0.006496162862496965
2022-01-12,0.006079605528201135
2022-01-13,0.0059573110417919534
2022-01-14,0.006559896524389394
2022-01-18,0.006309928588501238
2022-01-19,0.0051823855156644585
2022-01-20,0.005800640755142925
2022-01-21,0.006776002716104833
2022-01-25,0.006818094893187258
2022-01-26,0.006106667331891775
2022-01-27,0.006022041193345737
2022-01-28,0.0045320820537516305
2022-02-01,0.0034787650482890624
2022-02-02,0.0033565268007678915
2022-02-03,0.005005715665895398
2022-02-04,0.005045596025138696
2022-02-08,0.005036714417812703
2022-02-09,0.004886620104433814
2022-02-10,0.005653300810304237
2022-02-11,0.005915184452797458
2022-02-15,0.0061842593083581325
2022-02-16,0.006350264467957537
2022-02-17,0.006526054253125691
2022-02-18,0.00644170312175138
2022-02-22,0.006425793795921029
2022-02-23,0.00644235570524412
2022-02-24,0.007689709402046859
2022-02-25,0.0068110069846860615
2022-03-01,0.006749260132301174
2022-03-02,0.006406603735878294
2022-03-03,0.006888481341431984
2022-03-04,0.006648589452645742
2022-03-08,0.006881592235729344
2022-03-09,0.005362625869808531
2022-03-10,0.010008777617618286
2022-03-11,0.009979030440476478
2022-03-15,0.009456364968131074
2022-03-16,0.009879696865288883
2022-03-17,0.009885528691433278
2022-03-18,0.009253983326472983
2022-03-22,0.009657088111613888
2022-03-23,0.009648579817398648
2022-03-24,0.009528894475745142
2022-03-25,0.010282164272738306
2022-03-29,0.010497576082780862
2022-03-30,0.010587495989590799
2022-03-31,0.010779061518587206
2022-04-01,0.01117326297965795
2022-04-05,0.01102502237899039
2022-04-06,0.010727508414465929
2022-04-07,0.010962193807670753
2022-04-08,0.011325844582509242
2022-04-12,0.011417734955313466
2022-04-13,0.011353382193085102
2022-04-14,0.011369361542088856
2022-04-20,0.01181749407435701
2022-04-21,0.011848103417117884
2022-04-22,0.011425080612790276
2022-04-26,0.010865247336856166
2022-04-27,0.01043249929942229
2022-04-28,0.010707061266495546
2022-04-29,0.010670496028347659
2022-05-03,0.010435541398266088
2022-05-04,0.010373262553967906
2022-05-05,0.010121769414782598
2022-05-06,0.011752467338700941
2022-05-10,0.011774877310311254
2022-05-11,0.010424366631665802
2022-05-12,0.011100336160243075
2022-05-13,0.0077623922084627504
2022-05-17,0.0078030634297744225
2022-05-18,0.008285410312372284
2022-05-19,0.007845534605227189
2022-05-20,0.00862405997491613
2022-05-24,0.009831435967875333
2022-05-25,0.009903928990763632
2022-05-26,0.007918901981979592
2022-05-27,0.00779849338130004
2022-05-31,0.008237586714405236
2022-06-01,0.008140139135492521
2022-06-02,0.008463450858702825
2022-06-03,0.008657958562570066
2022-06-07,0.00904229044367672
2022-06-08,0.009070727070034666
2022-06-09,0.008188775511513698
2022-06-10,0.008280494947065191
2022-06-14,0.008571378201450876
2022-06-15,0.008225254960804732
2022-06-16,0.008461709569086396
2022-06-17,0.008693004452061762
2022-06-21,0.00855209182951523
2022-06-22,0.008350724008085642
2022-06-23,0.007834262291330213
2022-06-24,0.006692533382979608
2022-06-28,0.007224252366753434
2022-06-29,0.007421492688527548
2022-06-30,0.008048848291989655
2022-07-01,0.006774429225470421
2022-07-05,0.006646137136519141
2022-07-06,0.0021812574510800087
2022-07-07,0.0031326467425464473
2022-07-08,0.0031263054932066056
2022-07-12,0.003152603165035262
2022-07-13,0.004607505833790288
2022-07-14,0.004149895841844207
2022-07-15,0.0043406241122286825
2022-07-19,0.004725849125935902
2022-07-20,0.0051835518211742065
2022-07-21,0.005982439685354512
2022-07-22,0.006829891532478355
2022-07-26,0.007200562193924109
2022-07-27,0.007321234119675227
2022-07-28,0.007679884210114712
2022-07-29,0.008460799852256047
2022-08-02,0.00835311359953781
2022-08-03,0.009125011602345079
2022-08-04,0.008948675441741395
2022-08-05,0.00923257100989591
2022-08-09,0.008301207315796559
2022-08-10,0.00869658682316832
2022-08-11,0.009131060548324174
2022-08-12,0.00936609710598405
2022-08-16,0.009378083137559327
2022-08-17,0.008471879107569687
2022-08-18,0.008351765091782683
2022-08-19,0.008027620500619607
2022-08-23,0.007681653008642992
2022-08-24,0.0076820249469541566
2022-08-25,0.007732361140565186
2022-08-26,0.007402420459974322
2022-08-30,0.007801584268747899
2022-08-31,0.007973743502667573
2022-09-01,0.007643747428789449
2022-09-02,0.007999039570655724
2022-09-06,0.008287937451604577
2022-09-07,0.009059999437865224
2022-09-08,0.008810899224434654
2022-09-09,0.008879589836040423
2022-09-13,0.008842484621108532
2022-09-14,0.008873487224501979
2022-09-15,0.009186762528353399
2022-09-16,0.008990698398526191
2022-09-20,0.009020146356219434
2022-09-21,0.008589011193090402
2022-09-22,0.006453757685445529
2022-09-23,0.006479290912888627
2022-09-27,0.006633901646608094
2022-09-28,0.005325261457104118
2022-09-29,0.010017183149398376
2022-09-30,0.005485009036141132
2022-10-04,-0.0023082656635426144
2022-10-05,-0.002038860956344666
2022-10-06,-0.001961980225445868
2022-10-07,-0.0009131574895073535
2022-10-11,-0.001431382717599545
2022-10-12,-0.001564527210724867
2022-10-13,-0.0012520364454199071
2022-10-14,-0.0012798912899199843
2022-10-18,-0.0012813983618715397
2022-10-19,-0.001242796961428217
2022-10-20,-0.0010908381409843173
2022-10-21,-0.0012932558426539328
2022-10-25,-0.00042499660174217635
2022-10-26,-0.00033921438841468205
2022-10-27,6.731415067550266e-05
2022-10-28,0.00010720167759463709
2022-11-01,0.004132898884646639
2022-11-02,0.005086431250821323
2022-11-03,0.002687717461078946
2022-11-04,0.0033928107320656043
2022-11-08,0.0016703810740860265
2022-11-09,0.0012650831590956904
2022-11-10,0.008181196568902108
2022-11-11,0.010110914947995634
2022-11-15,0.011732258476771089
2022-11-16,0.011514461198890638
2022-11-17,0.011399360051368542
2022-11-18,0.010001172684723678
2022-11-22,0.011138482661783652
2022-11-23,0.012570110358995723
2022-11-24,0.012886450732140299
2022-11-25,0.01591122824575688
2022-11-29,0.01628255965784084
2022-11-30,0.0163640614437504
2022-12-01,0.01696693857955757
2022-12-02,0.01690828704440152
2022-12-06,0.01679502305778911
2022-12-07,0.016796457488233177
2022-12-08,0.016661478974862125
2022-12-09,0.015604071467918585
2022-12-13,0.015763341741773917
2022-12-14,0.015476281286330808
2022-12-15,0.009243882474823504
2022-12-16,0.0085080339963921
2022-12-20,0.006922703040520945
2022-12-21,0.004950092613194893
2022-12-22,0.00433478166730238
2022-12-23,0.0041912696230144465
2022-12-28,0.004131777873211985
2022-12-29,0.00443915197684533
2022-12-30,0.005438402650552145
2023-01-03,0.005384017838918398
2023-01-04,0.004972080528545786
2023-01-05,0.004603059886412449
2023-01-06,0.00490388998424252
2023-01-10,0.0048759595435324725
2023-01-11,0.005471872503708077
2023-01-12,0.005692274571249716
2023-01-13,0.005687982118367866
2023-01-17,0.0064730848351184115
2023-01-18,0.006892493112220466
2023-01-19,0.005647633923065127
2023-01-20,0.005762615119535497
2023-01-24,0.005840373451809417
2023-01-25,0.005491028500333855
2023-01-26,0.00525718909628341
2023-01-27,0.0053656654237967845
2023-01-31,0.0050433423012288415
2023-02-01,0.00476550092655125
2023-02-02,0.0019484640650491555
2023-02-03,0.0017384015923599307
2023-02-07,0.001703489327639416
2023-02-08,0.0016673159219889946
2023-02-09,0.0015964956385919951
2023-02-10,0.000551105988182447
2023-02-14,0.00023066542185848626
2023-02-15,0.0002364361901673723
2023-02-16,0.00025507138955991807
2023-02-17,0.0004693304968977665
2023-02-21,0.0004905490100305408
2023-02-22,-0.00014481988166132367
2023-02-23,0.0007217113477737638
2023-02-24,0.0017349135424705852
2023-02-28,0.0017308208724281968
2023-03-01,0.002847655853928866
2023-03-02,0.002647644880601112
2023-03-03,0.0024395400041329635
2023-03-07,0.002122402661662456
2023-03-08,0.0015048134572502017
2023-03-09,0.001488261631751119
2023-03-10,0.001895097414551532
2023-03-14,0.0019579722562120426
2023-03-15,0.002531428833161604
2023-03-16,0.002666624269455041
2023-03-17,0.0027008302699915946
2023-03-21,0.0027250930732192705
2023-03-22,0.003138955501376372
2023-03-23,0.003598932220720104
2023-03-24,0.003719243386346525
2023-03-28,0.003808456484344489
2023-03-29,0.003815706554778577
2023-03-30,0.0037275753679369282
2023-03-31,0.00017849894251071615
2023-04-04,0.0008475403125362875
2023-04-05,0.0009764608036396559
2023-04-06,0.0008636249355456658
2023-04-12,0.0009924672155409361
2023-04-13,0.0009034038603079009
2023-04-14,0.0008567912656393053
2023-04-18,0.0002425788514869513
2023-04-19,-0.0005275393942275727
2023-04-20,-0.0010213038637880293
2023-04-21,-0.0008031453559353826
2023-04-25,0.000867549632557803
2023-04-26,0.002798454002471139
2023-04-27,0.002616619986688344
2023-04-28,0.00039684147906318186
2023-05-03,0.00026589466972848564
2023-05-04,0.0002582669612914854
2023-05-05,0.00012882692537739238
2023-05-09,8.855434988436636e-06
2023-05-10,0.0006246619628025466
2023-05-11,-1.3709885451914246e-05
2023-05-12,6.515530320119777e-05
2023-05-16,3.135813726147974e-06
2023-05-17,0.0001272850577914855
2023-05-18,0.00015536286335231524
2023-05-19,-0.00025450379466318167
2023-05-23,-0.0009306974776576262
2023-05-24,-0.0007234051573072916
2023-05-25,-0.0007836507405775632
2023-05-26,0.0005396868880227581
2023-05-30,0.0008861777804691927
2023-05-31,0.0008397596288006706
2023-06-01,0.0008520522463348831
2023-06-02,0.0011153847607659549
2023-06-06,-0.0019512126642853924
2023-06-07,-0.0025358456618918834
2023-06-08,-0.002155065855058625
2023-06-09,-0.0024752110269466512
2023-06-13,-0.002457081671185349
2023-06-14,-0.0021688760271162378
2023-06-15,-0.00257220702201594
2023-06-16,-0.002380591070320088
2023-06-20,-0.002047253713972527
2023-06-21,-0.001908000552543332
2023-06-22,-0.002287388855570914
2023-06-23,-0.0023154206178123515
2023-06-27,-0.0028946508957261616
2023-06-28,-0.0031929817012593177
2023-06-29,-0.0034927109721063746
2023-06-30,-0.004161962204769315
2023-07-04,-0.004272507971278824
2023-07-05,-0.004671629858245051
2023-07-06,-0.0039052632942302335
2023-07-07,-0.003848574191911336
2023-07-11,-0.004069170400156222
2023-07-12,-0.0035516744996767517
2023-07-13,-0.0036351933404243164
2023-07-14,-0.00441815047915675
2023-07-18,-0.003866177564262721
2023-07-19,-0.0035691709080446373
2023-07-20,-0.003563161322989948
2023-07-21,-0.0036645939524242734
2023-07-25,-0.003586296842229112
2023-07-26,-0.003545772320607493
2023-07-27,-0.0036990415371189428
2023-07-28,-0.005436420961400116
2023-08-01,-0.005365485383362876
2023-08-02,-0.005005472425838809
2023-08-03,-0.005552374232079511
2023-08-04,-0.0030773390621141408
2023-08-08,-0.003001907274127557
2023-08-09,-0.0036151348086673456
2023-08-10,-0.003766219616385811
2023-08-11,-0.003632760692901476
2023-08-15,-0.005501967874009102
2023-08-16,-0.005646005474883651
2023-08-17,-0.004512316486892458
2023-08-18,-0.004487724765171661
2023-08-22,-0.004984179440415068
2023-08-23,-0.004510149927443061
2023-08-24,-0.0046114185205455025
2023-08-25,-0.004657561225179275
2023-08-29,-0.0045354950979113184
2023-08-30,-0.004597273789206114
2023-08-31,-0.0044993049189435445
2023-09-01,-0.005061424535850239
2023-09-05,-0.0058563791582705495
2023-09-06,-0.006457413684535644
2023-09-07,-0.007626621527554141
2023-09-08,-0.0072272543772149015
2023-09-12,-0.006986044658315524
2023-09-13,-0.006422984324215628
2023-09-14,-0.006092263382463815
2023-09-15,-0.00464463119725144
2023-09-19,-0.0054859101415524955
2023-09-20,-0.005741928334771345
2023-09-21,-0.007162836183118674
2023-09-22,-0.005529226330438836
