Date,DBMF,GLD
2007-01-31,,1.0
2007-02-28,,1.0
2007-03-31,,1.0
2007-04-30,,1.0
2007-05-31,,1.0
2007-06-30,,1.0
2007-07-31,,1.0
2007-08-31,,1.0
2007-09-30,,1.0
2007-10-31,,1.0
2007-11-30,,1.0
2007-12-31,,1.0
2008-01-31,,1.0
2008-02-29,,1.0
2008-03-31,,1.0
2008-04-30,,1.0
2008-05-31,,1.0
2008-06-30,,1.0
2008-07-31,,1.0
2008-08-31,,1.0
2008-09-30,,1.0
2008-10-31,,1.0
2008-11-30,,1.0
2008-12-31,,1.0
2009-01-31,,1.0
2009-02-28,,1.0
2009-03-31,,1.0
2009-04-30,,1.0
2009-05-31,,1.0
2009-06-30,,1.0
2009-07-31,,1.0
2009-08-31,,1.0
2009-09-30,,1.0
2009-10-31,,1.0
2009-11-30,,1.0
2009-12-31,,1.0
2010-01-31,,1.0
2010-02-28,,1.0
2010-03-31,,1.0
2010-04-30,,1.0
2010-05-31,,1.0
2010-06-30,,1.0
2010-07-31,,1.0
2010-08-31,,1.0
2010-09-30,,1.0
2010-10-31,,1.0
2010-11-30,,1.0
2010-12-31,,1.0
2011-01-31,,1.0
2011-02-28,,1.0
2011-03-31,,1.0
2011-04-30,,1.0
2011-05-31,,1.0
2011-06-30,,1.0
2011-07-31,,1.0
2011-08-31,,1.0
2011-09-30,,1.0
2011-10-31,,1.0
2011-11-30,,1.0
2011-12-31,,1.0
2012-01-31,,1.0
2012-02-29,,1.0
2012-03-31,,1.0
2012-04-30,,1.0
2012-05-31,,1.0
2012-06-30,,1.0
2012-07-31,,1.0
2012-08-31,,1.0
2012-09-30,,1.0
2012-10-31,,1.0
2012-11-30,,1.0
2012-12-31,,1.0
2013-01-31,,1.0
2013-02-28,,1.0
2013-03-31,,1.0
2013-04-30,,1.0
2013-05-31,,1.0
2013-06-30,,1.0
2013-07-31,,1.0
2013-08-31,,1.0
2013-09-30,,1.0
2013-10-31,,1.0
2013-11-30,,1.0
2013-12-31,,1.0
2014-01-31,,1.0
2014-02-28,,1.0
2014-03-31,,1.0
2014-04-30,,1.0
2014-05-31,,1.0
2014-06-30,,1.0
2014-07-31,,1.0
2014-08-31,,1.0
2014-09-30,,1.0
2014-10-31,,1.0
2014-11-30,,1.0
2014-12-31,,1.0
2015-01-31,,1.0
2015-02-28,,1.0
2015-03-31,,1.0
2015-04-30,,1.0
2015-05-31,,1.0
2015-06-30,,1.0
2015-07-31,,1.0
2015-08-31,,1.0
2015-09-30,,1.0
2015-10-31,,1.0
2015-11-30,,1.0
2015-12-31,,1.0
2016-01-31,,1.0
2016-02-29,,1.0
2016-03-31,,1.0
2016-04-30,,1.0
2016-05-31,,1.0
2016-06-30,,1.0
2016-07-31,,1.0
2016-08-31,,1.0
2016-09-30,,1.0
2016-10-31,,1.0
2016-11-30,,1.0
2016-12-31,,1.0
2017-01-31,,1.0
2017-02-28,,1.0
2017-03-31,,1.0
2017-04-30,,1.0
2017-05-31,,1.0
2017-06-30,,1.0
2017-07-31,,1.0
2017-08-31,,1.0
2017-09-30,,1.0
2017-10-31,,1.0
2017-11-30,,1.0
2017-12-31,,1.0
2018-01-31,,1.0
2018-02-28,,1.0
2018-03-31,,1.0
2018-04-30,,1.0
2018-05-31,,1.0
2018-06-30,,1.0
2018-07-31,,1.0
2018-08-31,,1.0
2018-09-30,,1.0
2018-10-31,,1.0
2018-11-30,,1.0
2018-12-31,,1.0
2019-01-31,,1.0
2019-02-28,,1.0
2019-03-31,,1.0
2019-04-30,,1.0
2019-05-31,,1.0
2019-06-30,,1.0
2019-07-31,,1.0
2019-08-31,,1.0
2019-09-30,,1.0
2019-10-31,,1.0
2019-11-30,,1.0
2019-12-31,,1.0
2020-01-31,,1.0
2020-02-29,,1.0
2020-03-31,,1.0
2020-04-30,,1.0
2020-05-31,0.5952525881634516,0.4047474118365484
2020-06-30,0.5623163195146986,0.43768368048530143
2020-07-31,0.5980881034447629,0.40191189655523707
2020-08-31,0.6787117982108894,0.32128820178911055
2020-09-30,0.6690508539833141,0.33094914601668585
2020-10-31,0.6742502929688254,0.32574970703117456
2020-11-30,0.6876774643097365,0.3123225356902634
2020-12-31,0.6664928244603118,0.33350717553968834
2021-01-31,0.6742989808000606,0.3257010191999395
2021-02-28,0.6762179757925327,0.3237820242074674
2021-03-31,0.6705244044454546,0.32947559555454536
2021-04-30,0.6574644892311906,0.3425355107688093
2021-05-31,0.6939213972923646,0.3060786027076354
2021-06-30,0.7147261171353919,0.2852738828646081
2021-07-31,0.6875233179496933,0.3124766820503067
2021-08-31,0.6687848179031431,0.33121518209685674
2021-09-30,0.693856616307809,0.306143383692191
2021-10-31,0.6829478992832457,0.3170521007167542
2021-11-30,0.6476882293408588,0.3523117706591411
2021-12-31,0.6412811084154691,0.3587188915845308
2022-01-31,0.638813239664315,0.361186760335685
2022-02-28,0.6470247621235737,0.35297523787642626
2022-03-31,0.5890594591304584,0.4109405408695414
2022-04-30,0.509288433087908,0.490711566912092
2022-05-31,0.469675193101531,0.5303248068984691
2022-06-30,0.42133647020050186,0.5786635297994982
2022-07-31,0.4026958656015785,0.5973041343984216
2022-08-31,0.4239260065770864,0.5760739934229135
2022-09-30,0.41773508009933397,0.5822649199006661
2022-10-31,0.41452713380628153,0.5854728661937184
2022-11-30,0.43709561704775113,0.5629043829522489
2022-12-31,0.4354281209858615,0.5645718790141386
2023-01-31,0.4437936502030312,0.5562063497969688
2023-02-28,0.44141550985144284,0.5585844901485572
2023-03-31,0.46770810587096856,0.5322918941290316
2023-04-30,0.5215267984573834,0.4784732015426167
2023-05-31,0.5149213282068609,0.4850786717931391
2023-06-30,0.5168436603465704,0.48315633965342974
2023-07-31,0.5179473678503232,0.4820526321496768
2023-08-31,0.5181630884541223,0.48183691154587766
2023-09-30,0.5372731789896134,0.46272682101038665
2023-10-31,0.5525374823396174,0.44746251766038264
2023-11-30,0.5666206539780799,0.43337934602192013
2023-12-31,0.5607408593638467,0.43925914063615334
2024-01-31,0.5474592663150305,0.45254073368496944
2024-02-29,0.5081448443204737,0.4918551556795263
2024-03-31,0.5544560544432815,0.44554394555671845
2024-04-30,0.5458777179956047,0.4541222820043952
2024-05-31,0.535736109623349,0.4642638903766509
2024-06-30,0.5307453583467349,0.469254641653265
2024-07-31,0.5209277993142691,0.47907220068573086
2024-08-31,0.49994030839715076,0.5000596916028492
2024-09-30,0.46770913068074615,0.532290869319254
2024-10-31,0.4272857738062868,0.5727142261937133
2024-11-30,0.49237373364891773,0.5076262663510823
2024-12-31,0.514993692889955,0.485006307110045
2025-01-31,0.5231404094073747,0.4768595905926253
2025-02-28,0.5241706698339387,0.47582933016606127
2025-03-31,0.575366797362634,0.42463320263736604
2025-04-30,0.6296094002791596,0.3703905997208405
2025-05-31,0.6343307198490263,0.3656692801509737
2025-06-30,0.6256153916975449,0.3743846083024551
2025-07-31,0.6510735934256345,0.3489264065743654
2025-08-31,0.6669516783442604,0.33304832165573967
2025-09-30,0.642205106383517,0.35779489361648303
2025-10-31,0.6625379452820612,0.33746205471793883
2025-11-30,0.6376629284186708,0.3623370715813293
2025-12-31,0.626161559600027,0.373838440399973
2026-01-31,0.6456067020384966,0.3543932979615034
2026-02-28,0.6165248986766866,0.3834751013233134
2026-03-31,0.5891584862782354,0.4108415137217647
